stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,306.48,0,4.09,0,0,0,0,0,0,0,0,0,0,8.17,0,16.35,0,0,8.17,40.86,0,0,0,0,0,0,0,0
72hpf,62.05,0,0,1.07,0,0,0,0,0,0,0,0,0,1.07,0,3.21,0,0,5.35,3.21,0,0,0,0,0,1.07,0,0
21Day,53.54,0,2.68,2.68,0,0,0,0,0,0,0,1.34,1.34,1.34,0,8.03,0,0,2.68,2.68,1.34,1.34,2.68,0,1.34,1.34,0,0
3Month,3.52,0.32,13.76,0,0.32,0.96,0.96,0,8.64,0.64,0.32,1.92,0.32,1.6,0.96,2.56,1.28,0,0,0,0.32,0,0.96,8.32,0,0,0.96,0.32
22Month,1.09,1.09,2.73,0,0,0,4.92,1.09,18.04,0,0.55,2.73,0,2.73,1.09,7.65,0.55,0.55,0,0,0,0.55,0,1.64,0,0,0,0.55
