stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,9.63,0,0,0,0,0,0,0
21Day,1.34,0,0,2.68,0,0,0,0,1.34,0,4.02,0,25.43,0,4.02,5.35,0,0,0,1.34,2.68,1.34,0
3Month,0,0,0,19.52,0.96,0,2.88,0.32,0,3.84,0.32,0,5.12,0.96,12.8,0.32,0,0.32,0.32,0,1.28,0,1.28
22Month,0,2.19,0.55,6.56,1.64,0.55,14.76,0.55,0.55,4.37,0,0.55,9.84,1.09,10.39,0,0,0,0,0,2.19,0,0
