stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,24.52,4.09,0,32.69,0,0,0,0,4.09,0,0,0,0,0,32.69,0,98.07,0,0,0,28.6,171.63,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,1.07,8.56,0,0,0,0,0,0,0,0,1.07,32.09,0,10.7,0,0,0,51.35,14.98,0,1.07,0,9.63,0,0,3.21,0,0,0
21Day,4.02,0,0,13.39,0,0,0,0,0,0,0,0,0,2.68,16.06,1.34,8.03,0,1.34,0,2.68,2.68,0,0,0,2.68,1.34,2.68,1.34,0,1.34,0
3Month,0,1.28,0.96,21.44,0,1.92,1.6,0,0,6.08,1.6,0.64,1.92,1.6,5.12,3.52,3.52,0.32,0.32,0.64,0,0,0.32,0.32,0,0,1.28,37.43,0,1.28,165.09,1.6
22Month,0,0,0,1.64,0,0.55,0,1.09,0,6.56,0,0,0.55,0,0.55,0,0.55,0.55,0,0.55,0,0,0.55,0.55,7.11,0,0,26.79,0,0,1.64,0
