stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,1.07,0,0,0,0,0,0,3.21,2.14,0,0,0,0,0,3.21,0,0,0,0,0,0,0,0,0,0,0,0
21Day,2.68,0,0,1.34,0,1.34,0,0,0,0,0,0,2.68,0,0,1.34,0,0,0,5.35,0,0,1.34,0,4.02,0,0,1.34,0,0,0,0
3Month,0.32,2.24,0.32,5.76,0.32,0,1.92,0,6.08,4.16,0.32,2.88,1.92,1.92,0.96,9.92,3.52,0.32,1.28,0.64,0,2.24,2.88,0,0.32,0.64,114.86,1.92,0,0.32,39.99,0.32
22Month,0,4.37,0,3.83,0,0,0,1.09,8.2,0,1.09,1.09,0,1.09,0.55,7.65,0,0,0.55,0,0,1.09,1.09,1.64,0,0.55,38.27,5.47,0.55,0,0,0.55
