stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,T_cell
24hpf,8.17,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0
72hpf,0,0,0,0,20.33,2.14,0,0,0,0,0,0,0,0,2.14,5.35,1.07,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,2.68,1.34,0,0,0,0,0,40.16,0,0,1.34,10.71,1.34,0,0,8.03,4.02,0,0,0,1.34,0
3Month,0,0.32,0.32,5.76,1.28,0,0.96,4.8,0.96,7.68,1.28,10.88,0.96,0,1.92,6.72,1.92,0,0.32,0,0.96,0.64,0.32,0.32,0,1.6
22Month,0,2.19,0,6.01,4.92,0,2.73,20.23,0.55,109.33,0.55,19.68,1.09,0.55,2.73,11.48,4.37,2.73,0,0,1.09,1.64,0,2.19,0,8.2
