stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,12.26,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,12.26,0,0,0,0,0,106.25,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,0,0,1.07,0,1.07,0,0,0,0,0,0,0,0,0,1.07,0,2.14,0,0,0,0,40.65,12.84,0,0,3.21,0,0,3.21,0,0,0
21Day,0,0,0,1.34,0,0,0,1.34,0,0,0,0,0,0,2.68,5.35,0,1.34,2.68,2.68,0,0,1.34,0,2.68,5.35,0,0,0,1.34,0,0,0,0,0
3Month,0.64,1.28,0.32,22.08,0.32,0,0.64,0.64,0.64,2.24,10.24,0.32,21.44,8,1.6,9.28,1.28,8.64,10.24,9.28,3.52,0,3.52,0.96,3.52,0.32,1.28,1.28,0.32,1.92,13.44,0.32,2.56,47.03,7.68
22Month,0,2.19,0,11.48,0,0,0.55,0,0,3.28,12.03,3.28,62.32,4.37,4.37,13.12,0.55,2.19,20.77,12.57,0,0.55,2.19,0,1.09,0,1.09,0,0,0,9.29,1.64,1.64,0.55,2.73
