stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,3.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,2.68,0,0,9.37,0,16.06,0,4.02,0,0,4.02,0,0,0,169.99,0,4.02,8.03,5.35,5.35,0,0,0,16.06,5.35,0,1.34,0,1.34,1.34,0,1.34,1.34,1.34,0,0,117.79
3Month,0.32,2.88,1.28,21.12,0.32,0,1.92,0,0.32,3.2,12.16,0,17.92,15.36,21.44,10.24,1.92,7.04,15.04,10.24,3.2,0,1.92,0.96,0.32,1.92,2.88,0,0.32,3.52,10.56,0.64,0,0,3.84,12.16,652.06
22Month,0,4.37,1.09,7.65,0,0,1.64,0,0,1.64,55.21,2.19,41.55,4.92,10.39,2.73,0,1.64,21.32,10.93,0.55,1.09,0,5.47,2.19,2.19,1.09,2.19,0,2.73,2.73,0,0,0,0.55,0,303.94
