stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,1.07,0,6.42,1.07,4.28,0,0,0,0,0,0,1.07,0,2.14,2.14,1.07,5.35,0,0,0,0,78.09,57.77,1.07,0,10.7,1.07,0,3.21,0,0,0,0
21Day,0,0,0,10.71,0,2.68,1.34,0,0,0,1.34,0,4.02,0,0,4.02,1.34,2.68,0,0,0,1.34,12.05,13.39,0,0,5.35,0,2.68,1.34,0,0,0,16.06
3Month,0,1.92,0.64,12.48,0,0,0.32,0.32,5.12,0,15.04,3.2,0.64,6.08,0.96,3.2,5.76,2.56,0.32,0,0.32,1.92,0.32,0.32,0.64,0.64,0.32,0.32,10.56,0.32,0,0.96,7.36,15.04
22Month,0,2.73,1.09,2.73,0,0,0,0.55,11.48,2.19,30.61,3.28,2.19,6.01,0,1.09,2.73,4.37,0,1.09,2.19,0.55,0,0,2.19,1.09,0,0.55,1.64,0.55,0.55,0.55,0,4.92
