stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,0,0,2.68,0,0,0,0,1.34,0,0,0,2.68,0,0,1.34,0,0,0,0,1.34,0,1.34,0,0,0,0,0,0,0,0,0,0,0,8.03
3Month,0.32,0,0.96,6.72,1.28,0.32,0,0.32,2.88,0,17.28,4.8,0.32,3.52,0.64,1.6,2.88,2.24,0.64,0,1.28,0.96,0.32,0.64,0.32,0,0,1.92,1.6,0.32,0,0,0.96,0.32,10.88
22Month,0.55,9.84,6.01,25.69,3.28,0.55,0.55,2.19,16.4,13.67,164,4.37,1.64,37.72,1.09,2.73,15.85,25.69,0,12.57,4.92,0,0.55,4.92,5.47,2.73,0.55,2.19,0,2.19,1.09,1.09,0.55,0,21.32
