stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0
72hpf,1.07,0,1.07,1.07,1.07,0,0,0,0,1.07,7.49,0,3.21,50.28,23.54,0,1.07,4.28,1.07,1.07,1.07,1.07,1.07
21Day,1.34,0,4.02,0,4.02,1.34,1.34,0,4.02,0,1.34,1.34,2.68,10.71,6.69,1.34,0,2.68,1.34,0,0,0,0
3Month,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22Month,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
