stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Hepatocyte,Mesenchymal_cell,Oligodendrocyte,Primordial_germ_cell
21Day,0,1.34,0,0,0,0,0
3Month,0,0,0,0,0,0,0.64
22Month,0.55,0,0.55,71.07,0.55,0.55,0
