stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,4.09,28.6,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,3.21,19.26,0,0,2.14,0,0,1.07,0,0,0,0
21Day,1.34,0,5.35,2.68,0,8.03,0,0,0,2.68,0,1.34,22.76,0,1.34,4.02,12.05,0,1.34,5.35,0,0,2.68,0,0,0,1.34
3Month,0,0.64,3.2,0,0.64,0.32,1.28,1.92,0.96,0,2.56,2.56,2.88,0,0.32,0.32,0,0.32,0,0,0.32,26.24,0,0.32,0.32,34.87,0.64
22Month,0,0.55,2.19,0,0,0,0,4.92,0,0,1.09,0,1.64,0.55,0,0,1.09,0,0,0,0,1.64,1.09,0,0,0.55,1.64
