stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,24.52,0,0,0,0,0,0
72hpf,0,1.07,1.07,1.07,0,0,0,0,0,1.07,2.14,0,3.21,0,0,22.47,8.56,0,0,1.07,0,0,0
21Day,1.34,0,0,1.34,0,0,0,2.68,0,0,0,0,2.68,1.34,0,13.39,2.68,0,0,2.68,0,0,0
3Month,0,0,0.64,0,0.32,6.4,0.32,0,1.28,0,0.32,0,0.32,0.32,0.32,0,0.32,0.64,0,0,1.92,0.32,0.64
22Month,0,0,0.55,0,0.55,5.47,0.55,0,1.64,0,0,0.55,1.09,1.09,0,0,0,0.55,0.55,0,0,0,0
