stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,3.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,6.69,0,0,0,0,0,0,0,0,0,0,0,1.34,4.02,0,0,0,1.34,0,0,0,0
3Month,0,0.32,0.32,4.48,1.28,3.52,0.64,0.32,1.28,0.32,0.32,0.32,0.96,0.32,0,0.32,0.96,8,0.32,0.32,45.75,0.32
