stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,53.12,0,0,0,0,0,0,0,114.42,0,0,0,0,24.52,155.28,4.09,16.35,0,0,0,8.17,61.3,441.33,0,0,8.17,0,0,0,0,0,4.09,0,0
72hpf,19.26,2.14,0,13.91,0,11.77,0,0,0,0,0,0,0,0,0,0,17.12,9.63,0,22.47,0,1.07,0,3.21,936.07,85.58,2.14,0,19.26,0,0,13.91,1.07,0,4.28,0,0
21Day,33.46,0,0,13.39,1.34,6.69,0,0,0,0,0,0,1.34,0,2.68,0,1.34,13.39,4.02,107.08,0,0,5.35,1.34,252.98,76.3,1.34,4.02,17.4,17.4,5.35,14.72,2.68,1.34,2.68,0,1.34
3Month,0,0,0,4.48,0,0,0.32,0.32,2.56,1.28,0,0,10.24,0.32,0,1.92,0,0.96,0.64,1.92,0.64,0.32,0,3.2,4.16,1.6,0.96,0,0,0.64,12.16,0.32,0,0,0,15.04,4.48
22Month,0,0,0.55,4.92,0,0,0,0,1.64,1.64,2.19,0,20.23,1.64,0,3.83,0.55,0,1.64,1.09,0,0,0,0.55,2.19,1.09,3.28,0,0,0.55,12.57,3.28,0,0,0,0,24.05
