stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0,4.09,24.52,4.09,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,8.56,0,0,0,0,0,0,0,0,0,0,1.07,48.14,1.07,2.14,0,0,0,4.28,4.28,0,0,0,0,0,0,0,0,0
21Day,0,0,22.76,2.68,0,0,0,0,0,0,0,1.34,0,0,12.05,18.74,1.34,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0
3Month,0.96,0.32,221.4,0,0.96,0.32,1.92,7.36,0,8,4.48,0.64,5.12,3.2,65.91,47.67,5.12,0.96,0.96,2.24,0.96,0,0.96,0.32,0.32,1.6,14.4,0.32,5.44,1.6,3.84
22Month,0.55,0,18.59,0,0,0,0.55,8.75,1.64,16.95,2.19,0.55,1.64,0,5.47,19.13,0.55,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0.55
