stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell
72hpf,0,0,0,0,0,0,0,0,0,1.07,0,0,4.28,1.07,0
21Day,0,0,1.34,0,6.69,0,1.34,0,0,0,0,0,2.68,0,0
3Month,0.32,0.96,0,0,4.48,0.32,0.32,0.64,0,0,0.32,0,0,0,0.32
22Month,0,0,0.55,0.55,4.37,0,0,0,1.09,0.55,0,0.55,0,0,0
