stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,49.04,0,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,122.59,0,0,0,0,0,4.09,12.26,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,2.14,0,0,0,1.07,0,0,0,22.47,0,0,1.07,25.67,0,0,0,0,0,4.28,3.21,0,0,3.21,0,0,0,0,0,0,0,0,0
21Day,1.34,1.34,0,20.08,5.35,0,0,0,4.02,0,1.34,2.68,135.19,1.34,5.35,6.69,84.33,8.03,0,0,4.02,0,2.68,4.02,0,0,1.34,2.68,0,0,0,4.02,1.34,0,0,120.47
3Month,0.32,3.84,1.28,8.32,0,3.2,0,2.56,5.44,0,11.52,6.72,4.48,4.16,0.32,4.48,95.98,8.64,1.28,0,0.64,0.96,0.64,0.32,0.64,0.32,0.64,2.56,0.32,2.88,0.32,0.32,0,1.6,2.88,339.79
22Month,0.55,4.92,1.09,1.09,0,0,0.55,0.55,8.2,1.64,22.41,0.55,10.93,2.19,0,1.09,79.81,2.19,0,1.09,0.55,0,0,0,0.55,0.55,0,0.55,0,1.64,0,0,0,0,0,142.13
