stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,0,0,0
72hpf,0,3.21,38.51,0,0,0,0,0,0,7.49,0,0,14.98,13.91,1.07,0,2.14,1.07,0,0
21Day,0,5.35,28.11,0,0,0,0,1.34,0,1.34,0,1.34,10.71,8.03,1.34,0,1.34,0,0,0
3Month,0,2.88,5.12,0.32,0,0.64,0.32,0,0.64,0,0,0,0.32,0,0,0.32,0,0.64,1.28,0.32
22Month,0,8.75,6.01,1.09,0.55,6.01,0,0,0.55,0,0.55,1.09,0.55,0.55,0,2.73,0,1.09,2.19,0
