stage,Epithelial_cell,Hepatocyte,Immune_cell,Mesenchymal_cell,Neural_cell,Osteoblast
24hpf,0,0,0,0,0,4.09
21Day,0,0,0,1.34,2.68,0
3Month,0.32,0,0.64,0.96,3.84,0
22Month,0,0.55,0,0,1.09,0
