stage,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,1.07,0,0,0,0,0,2.14,1.07,0,0,0,0,0
21Day,4.02,1.34,0,0,0,0,0,0,0,0,0,1.34,0,0,0,1.34,0,2.68,0,0,0,1.34
3Month,3.2,0,0,0.32,0.32,0.64,1.28,0.32,0.32,0.32,0.32,0.64,0.32,0.64,0.32,0,0,0,0.64,0.96,0.32,0.96
22Month,1.09,0,0.55,0,0.55,1.64,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0
