stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0
21Day,1.34,0,0,9.37,0,0,0,0,0,0,0,0,0,1.34,2.68,0,0,0,0,0,0,0,0,0,0,0
3Month,0.32,0,0.32,46.71,0.64,40.63,0.64,0,0,7.04,0.64,0.64,1.92,1.6,7.04,0.32,1.28,0,0.64,0.32,1.28,0.96,2.56,0.32,0.32,0.96
22Month,0,0.55,0.55,8.2,0,12.57,1.09,0.55,0,13.67,0.55,0,6.01,0,2.19,0.55,0.55,0.55,0,1.09,0.55,0.55,8.75,0,0,0.55
