stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,81.73,0,0,0,0,0,0,0
72hpf,0,0,1.07,1.07,0,0,0,0,0,0,0,0,0,3.21,1.07,3.21,0,1.07,0,1.07,6.42,21.4,2.14,0,0,3.21,0,0,0
21Day,2.68,0,4.02,1.34,2.68,6.69,0,0,0,0,2.68,0,0,0,0,2.68,0,0,1.34,0,2.68,5.35,1.34,2.68,0,4.02,0,0,0
3Month,0,0,5.12,0.32,0,0,0.32,0.96,1.6,0.32,0.32,1.92,0.32,2.24,1.28,2.88,0.64,0,0.32,0,0,0,0,0.32,6.72,0,0.32,2.88,0.96
22Month,0,0.55,0.55,0,0,0,0,0.55,1.09,0,0,0.55,0,1.09,0,1.09,0,0,0,0,0,0,0,0,1.64,0,0,0,0
