stage,Epithelial_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,4.09,0,0,0,0,4.09,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0
21Day,1.34,0,0,0,0,1.34,0,0,4.02,0,0,2.68,5.35,1.34,6.69,0,0,0
3Month,0.64,0.32,0,1.6,0.64,0,0.64,0.64,0.64,0.64,0.64,0,0,0,0,7.68,0.64,0.96
22Month,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0
