stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,53.12,0,0,12.26,4.09,0,0,0,0,0,0,4.09,0,0,0,0,4.09,0,8.17,32.69,0,0,0,16.35,24.52,0,0,0,16.35,0,0,0,0,4.09,0,0,0
72hpf,77.02,3.21,0,18.19,4.28,2.14,0,0,0,0,0,0,0,0,0,0,1.07,9.63,0,27.81,0,0,1.07,27.81,12.84,0,1.07,0,42.79,0,0,16.05,0,3.21,0,0,0
21Day,132.51,1.34,0,42.83,1.34,0,0,0,0,0,0,0,2.68,0,1.34,1.34,0,18.74,0,73.62,0,0,5.35,18.74,13.39,0,2.68,0,33.46,5.35,0,4.02,1.34,1.34,0,0,1.34
3Month,8.64,11.84,0.32,57.27,1.28,0,0,0.64,1.92,5.44,0,0,43.83,2.24,0,4.8,6.08,47.99,4.8,52.15,11.52,0,8.64,1.92,0.32,4.48,7.04,0,5.76,1.28,12.16,1.28,0,0,13.76,3.84,3.52
22Month,5.47,18.59,0.55,20.77,1.09,0,0.55,0,0.55,2.19,9.29,0,198.98,1.09,1.64,4.92,6.01,9.84,6.01,56.31,4.37,4.37,2.19,1.64,1.09,1.64,7.65,1.09,7.65,0.55,10.39,3.28,2.19,1.09,3.28,0,0.55
