stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,24.52,0,0,0,0,0,40.86,0,0,0,0,0,0,0,0,0
72hpf,4.28,3.21,0,5.35,0,1.07,0,0,0,0,0,0,0,0,0,2.14,9.63,0,75.96,0,0,1.07,0,14.98,22.47,0,2.14,51.35,0,0,31.02,0,0,0
21Day,4.02,0,0,8.03,0,2.68,0,0,0,0,0,0,0,0,1.34,5.35,2.68,0,68.27,0,0,16.06,0,9.37,9.37,0,5.35,20.08,2.68,2.68,2.68,0,0,2.68
3Month,0.64,2.24,0.32,8.96,0.32,0,0.32,0,1.6,5.12,0.32,14.72,2.88,0,4.8,3.52,2.88,4.48,135.66,18.24,0,3.52,0.32,1.6,0.96,0.64,0.96,0.64,0.32,6.4,0.96,2.56,8.96,2.24
22Month,0.55,2.19,0,8.75,0,0,1.09,0.55,1.09,5.47,9.29,61.23,2.73,1.09,6.56,0,1.09,2.73,76.53,0.55,0.55,1.09,0.55,0,0.55,0,0.55,0.55,1.09,0.55,0,0,0,0.55
