stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,8.17,16.35,0,0,0,20.43,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,3.21,2.14,0,4.28,0,0,0,0,0,0,1.07,0,0,1.07,0,4.28,0,0,6.42,7.49,0,1.07,5.35,0,1.07,1.07,0,1.07,0,0,0
21Day,1.34,0,9.37,0,4.02,0,0,0,0,0,1.34,4.02,0,0,2.68,0,10.71,0,1.34,5.35,0,0,1.34,2.68,0,0,0,1.34,0,0,0,1.34
3Month,0,0,2.88,0.32,0,0.32,0.64,0.64,0,7.36,0,0.32,0.96,0.64,0.96,0.32,2.24,0,0.32,0.32,0,0.64,0.32,0.32,1.28,0,0,0,0.32,0.96,0.64,1.92
22Month,0,0,0.55,0,0,0,0,0,2.19,12.03,0,0,2.19,0.55,0.55,1.64,0.55,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
