stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,57.21,0,0,0,0,0,0,0,0,0,36.78,0,0,0
72hpf,1.07,2.14,0,4.28,1.07,5.35,0,0,0,0,0,0,0,0,0,3.21,2.14,2.14,0,0,1.07,111.26,265.31,0,0,0,5.35,1.07,0,26.74,10.7,4.28,354.1,0,0,0
21Day,14.72,1.34,1.34,26.77,2.68,32.12,4.02,0,1.34,1.34,2.68,0,4.02,4.02,1.34,13.39,10.71,22.76,0,0,2.68,105.74,45.51,1.34,4.02,0,9.37,14.72,2.68,33.46,20.08,10.71,950.36,0,0,2.68
3Month,0,0.32,0.32,3.52,0.96,0,0.32,0.32,9.6,0,4.48,0.64,0.32,1.6,0,8.96,0.96,0.32,0.32,0,0.64,0,0.32,0,0,0,0,0,20.48,25.6,0.32,0.64,17.6,0,7.04,0.64
22Month,0,1.09,0,2.73,1.64,0,0.55,0,2.19,2.19,12.57,1.09,0.55,0.55,0,1.64,1.09,3.83,0,0.55,0.55,1.09,0.55,1.64,0,1.09,0,0,11.48,53.57,2.19,0,26.79,0.55,0,0
