stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,20.43,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,1.07,0,0,0,0,0,0,0,3.21,0,0,0,0,0,0,0,0,0,0,1.07
21Day,0,1.34,2.68,0,0,2.68,0,0,0,13.39,0,0,0,8.03,0,0,0,0,0,0,1.34,0,0,0,12.05
3Month,0.64,5.44,0,0.32,0.64,4.48,0,6.08,39.03,0.32,1.6,0.96,1.28,24.64,3.2,0,0.32,0.96,0.32,0.96,0.32,0.96,0,1.28,32.31
22Month,1.64,4.37,0,0,0.55,25.69,2.19,54.67,36.63,1.09,3.28,0,0.55,59.59,4.37,0.55,0,0,0,0,1.09,0.55,0.55,0,15.85
