stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,1.07,0,0,0,0
21Day,1.34,0,0,2.68,0,1.34,0,0,0,1.34,0,0,0,0,0,0,0,1.34,0,0,1.34,0,0,0,0,0,0,0,0,17.4,0,0,0,4.02,0
3Month,0.96,1.92,0.64,25.92,0.32,0,0.96,3.52,6.4,0.32,45.11,11.2,0.96,15.36,3.2,9.6,4.48,8.64,1.28,0,2.24,5.12,3.52,0,1.92,1.6,1.28,10.88,0.32,1101.91,0.32,0.32,7.68,1969.29,11.52
22Month,0,1.09,0,1.64,0,0,0,0,0,1.09,190.78,0,0,3.83,0,0,0.55,3.28,0.55,1.09,0.55,0.55,0,0,0,0,1.64,1.09,0,292.46,0.55,0.55,0,10.93,1.09
