stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,4.09,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,1.07,0,0,0,0,0,0,0,0,0,4.28,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,8.03,2.68,0,6.69,0,0,0,2.68,2.68,0,0,2.68,4.02,1.34,5.35,0,2.68,1.34,0,0,0,1.34,0,0,0
3Month,0,0.32,8.32,0,0.32,0,0.64,5.76,1.92,8,0.32,3.52,0.96,1.28,2.56,0.96,0,0.96,0.32,0,0.32,0.64,2.88,0,0.96,3.2,7.68
22Month,0.55,0.55,2.73,0,0.55,0,0,2.73,8.75,2.73,1.64,0,0,0,4.37,2.19,0,0,0,0,0,0,0.55,0,0.55,0,3.28
