stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.91,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,4.02,2.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.68,0,0,0,0,0,0,0,0,0,0,0
3Month,2.24,0.64,15.36,0,1.6,0.32,0.64,4.16,7.04,0,29.44,7.04,0.32,13.44,2.24,5.76,6.4,7.04,1.6,0.32,1.92,2.88,1.92,0.32,1.92,0.32,2.56,6.08,0.96,0.32,0.32,1.92,3.84,6.08
22Month,5.47,7.11,22.96,0,0.55,0.55,0,1.64,27.33,7.65,144.86,6.56,3.28,31.71,1.09,3.83,10.93,23.51,0,12.57,1.64,0,2.19,0,1.64,4.92,2.19,1.09,3.83,1.64,0.55,1.09,0,13.12
