stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,1.07,0,0,0,0
21Day,0,1.34,0,0,0,0,0,2.68,0,1.34,1.34,5.35,1.34,0,0,1.34,1.34,1.34,0,0,0,0,44.17
3Month,0,4.8,0,0.32,3.2,2.56,66.55,0.32,1.6,0.32,0.64,2.56,2.56,0,0.64,0,0,0.64,1.28,0.32,0.96,4.8,92.15
22Month,1.64,1.64,1.64,0,0,2.19,2.19,1.09,0,0,0.55,1.64,0,1.09,0,0,0,0,0,0,0,0,51.39
