stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,16.35,4.09,0,0,0,0,0,0,0,0,4.09,4.09,0,53.12,0,0,0,0,0,355.52,0,0,12.26,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,5.35,0,0,0,2.14,0,0,0,0,0,1.07,0,1.07,11.77,0,0,0,0,34.23,55.63,0,0,11.77,1.07,0,3.21,1.07,0,0,0,0,0
21Day,4.02,0,0,13.39,0,1.34,0,0,0,0,0,1.34,0,0,1.34,0,8.03,0,0,1.34,0,14.72,9.37,0,0,1.34,0,0,4.02,0,2.68,1.34,0,0,1.34
3Month,0,0,0.64,2.88,0,0,0,0,1.28,1.92,1.28,0.32,1.6,0.32,1.28,0.32,7.04,0.32,0,0.32,0.64,1.28,0.32,2.88,0.96,0,0.96,166.69,1.6,0,0,0,0.96,36.79,0.32
22Month,0,1.09,0,1.09,0,0,0.55,0,1.09,42.09,0,0,1.09,0,0,0.55,3.28,0,0.55,0,0,0,0,0,0,0,0,7.65,0.55,0,0,0,0.55,0,0
