stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,8.17,0,0,0,0,0,0,0,0,0,0,0,8.17,36.78,0,0,57.21,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,0,0,0,0,0,0,0,0,1.07,3.21,0,1.07,0,20.33,5.35,0,3.21,0,1.07,0,0,1.07,0,0,0
21Day,4.02,0,1.34,2.68,0,0,0,0,0,0,1.34,0,0,0,8.03,0,8.03,4.02,0,2.68,1.34,0,2.68,1.34,1.34,0,0,0
3Month,0,4.16,0,0,0.32,0.32,1.28,2.88,0.32,0.32,1.28,0.32,0.96,0.64,1.92,0.96,0.32,0,0.32,0,0.32,16,0.32,0,0,0.32,0.96,0
22Month,0.55,0.55,0,0,0,0,0,6.01,0.55,0.55,0,0,0,0,3.28,0,0.55,0,1.09,0,0,3.28,0,0,0,0,0,0.55
