stage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,4.09,0,4.09,0,0
72hpf,0,2.14,1.07,0,0
21Day,0,1.34,0,1.34,1.34
