stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,8.17,0,24.52,0,0,0,0,8.17,126.68,0,8.17,0,0,0,0,0,0
72hpf,1.07,1.07,0,3.21,1.07,0,0,0,0,0,0,0,3.21,11.77,1.07,9.63,0,2.14,0,0,3.21,27.81,0,8.56,0,0,2.14,0,0,0
21Day,10.71,0,0,12.05,8.03,0,9.37,1.34,1.34,0,6.69,0,1.34,2.68,2.68,12.05,0,0,0,0,1.34,10.71,0,4.02,0,0,2.68,0,0,2.68
3Month,0,0.64,0.64,10.56,0,0.32,1.28,5.44,5.12,2.24,1.28,2.24,0.96,2.24,8.32,3.2,0.64,0,0.96,0.64,0,0,0,0,0.32,59.83,0,0.96,8.32,7.36
22Month,0,0,0,2.19,0,0,1.64,4.37,14.76,2.73,3.83,2.19,0,1.09,9.84,1.09,0,0,0.55,0,0,0,0.55,0,0.55,7.65,0,0,0,0.55
