stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0
72hpf,1.07,0,1.07,0,0,0,0,0,0,0,0,2.14,0,0,7.49,7.49,0,1.07,3.21,0,0,1.07,0,0
21Day,0,1.34,2.68,5.35,0,1.34,0,1.34,0,1.34,0,4.02,2.68,5.35,12.05,2.68,0,0,2.68,1.34,0,2.68,0,1.34
3Month,0,0,1.6,0,0,0,0,0.64,0.64,0,1.6,0.96,0.32,0.32,0,0,0,0,0,0,0.32,0,0.32,0.32
22Month,0,0.55,1.09,0,0.55,1.64,0.55,3.28,0,0,0.55,0,0,1.09,0,0,0.55,0,0,0,0,0,0,0.55
