stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,28.6,8.17,0,57.21,0,0,0,0,0,0,0,0,8.17,4.09,16.35,498.54,0,0,0,77.64,1646.82,8.17,0,8.17,0,0,0,0,0,0,0,0
72hpf,29.95,2.14,0,17.12,4.28,33.16,1.07,0,0,0,1.07,0,10.7,41.72,3.21,72.75,3.21,3.21,1.07,2779.32,358.38,0,9.63,47.07,1.07,0,108.05,0,1.07,0,0,0
21Day,26.77,0,0,4.02,0,0,1.34,0,0,0,1.34,0,0,0,0,34.8,0,9.37,1.34,116.45,48.19,2.68,0,9.37,5.35,0,14.72,8.03,0,0,0,1.34
3Month,0.64,0,0.32,2.24,0,0,0,0.32,0.32,2.24,0.32,8.96,0.32,0.64,0,5.76,0,3.2,0,1.92,0,0,0.96,0,0.64,22.08,0,0,0,0.32,5.44,0.32
22Month,0,0,0,0.55,0,0,0,0,0.55,2.73,0,4.92,0,0,0.55,0.55,0,0,0,0,0,0,0,0,0,10.39,0,0,0,0,0,0
