stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,8.17,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,3.21,0,0,0,0,0,0,0,0,0,1.07,1.07,0,1.07,0,0,0,0,6.42,0,0,0,2.14,0,0,0,1.07,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.68,0,0,0,0,2.68,0,0,0,1.34,0,0,1.34,0,0,0,0
3Month,0,0.64,8.32,0.32,0.32,4.48,1.28,0,135.34,1.6,0,3.2,2.88,5.12,1.6,2.56,0.96,0.32,0,0.32,0.64,0,0.96,0.64,0.64,0.96,4.48,0.32,0,0.32,1.6,1.92
22Month,0.55,0,3.83,0,0.55,2.19,3.83,2.19,165.64,1.09,0.55,3.83,0,1.09,5.47,2.73,0,3.28,0.55,0,0.55,0,2.19,3.28,0.55,0.55,1.09,0.55,0,0,0,0.55
