stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,4.09,0,0,0,0,0,4.09,143.02,20.43,8.17,0,0,0,0,0,28.6,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,1.07,1.07,0,0,0,0,0,0,0,0,0,1.07,138,23.54,6.42,0,0,0,0,116.61,6.42,2.14,0,0,2.14,1.07,0,0,0,0,0,0,0
21Day,0,1.34,13.39,4.02,0,2.68,0,4.02,0,1.34,0,10.71,0,0,6.69,52.2,2.68,0,0,4.02,0,60.23,1.34,0,0,0,2.68,1.34,0,0,1.34,1.34,1.34,0,0
3Month,0,2.24,3.84,0,0.32,0.32,0.64,46.71,0,7.36,3.2,2.88,1.92,1.28,0.64,56.63,0.64,0.32,0,2.24,0.32,2.56,0,2.24,0.32,0,0,0.32,0.64,2.24,0,0,0,0.96,1.6
22Month,0.55,1.64,6.56,0,0,0,0.55,150.33,11.48,28.43,2.73,7.65,6.56,0.55,0,78.72,4.37,0,0.55,1.64,0.55,8.75,0,4.37,0,0.55,1.09,1.09,0,10.39,2.19,1.09,0,0,2.73
