stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,8.17,0,0,0,0,0,0,0,16.35,0,0,0,0,0,85.81,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.42,1.07,0,0,0,0,10.7,4.28,0,0,0,0,0,0,1.07,0,0,0,0,0
21Day,0,0,2.68,1.34,0,1.34,0,6.69,0,0,0,1.34,17.4,1.34,0,5.35,38.82,1.34,0,0,1.34,0,1.34,0,0,0,0,0,0,0,16.06,0,0,0,0,2.68
3Month,0.32,2.24,0.64,49.59,0.64,2.88,7.04,63.03,0,0,26.24,156.14,4.48,5.76,0.64,14.08,127.66,7.36,2.24,0.32,3.84,4.16,0.64,0.64,0.64,0.64,0,0.96,10.56,0.32,867.06,1.92,0,6.08,125.1,15.36
22Month,0.55,2.19,3.83,19.68,1.64,4.92,4.92,93.48,2.73,0,44.83,70.52,12.03,30.07,0,3.83,95.12,8.2,0,1.64,3.28,0,0,0.55,1.09,1.09,85.82,0.55,2.19,0,313.23,0,0.55,0,0,6.56
