stage,Epithelial_cell,Ionocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Radial_glia
24hpf,0,4.09,0,0,12.26,0
72hpf,1.07,0,1.07,11.77,2.14,1.07
21Day,0,0,1.34,0,1.34,0
