stage,Epithelial_cell,Erythroid_progenitor_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,0,0,0,0,0,0,0,2.14,0,0,0,0
21Day,1.34,0,0,4.02,0,1.34,1.34,1.34,0,0,0,2.68
3Month,0.32,0.32,1.6,0,0.32,0,0.32,0,0,0.32,0.32,1.6
22Month,0,0,1.09,0,0,0,0.55,0,0,0,0,0
