stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,24.52,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,57.21,0,0,0,32.69,0,0,12.26,0,0,0,0,0,0,0
72hpf,19.26,2.14,0,3.21,0,0,0,0,0,0,0,0,1.07,5.35,1.07,138,0,0,41.72,10.7,2.14,0,48.14,0,0,1.07,0,0,0,0
21Day,9.37,2.68,1.34,2.68,1.34,0,0,0,0,0,0,1.34,0,1.34,0,101.73,0,22.76,12.05,2.68,0,0,18.74,4.02,0,2.68,1.34,0,0,1.34
3Month,0,9.28,0.32,3.52,0,0.32,1.28,0.32,6.72,0.96,0.64,3.52,0,2.24,1.92,39.03,2.24,1.28,0,0,1.6,0.32,0.32,1.6,41.59,0,0,1.6,9.92,1.92
22Month,0,6.56,0,4.37,0,0.55,1.64,2.19,32.25,1.09,0,3.83,0,0.55,2.19,12.03,0,3.83,1.09,0,2.19,0,1.09,0,45.92,0,0,0.55,0,0
