stage,Epithelial_cell,Granulocyte,Hepatocyte,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell
72hpf,0,0,0,1.07,2.14,1.07,0,0,21.4,0
21Day,0,0,0,5.35,1.34,0,1.34,0,9.37,0
3Month,0,0,0,0,0,0,0,1.28,2.56,0.32
22Month,0.55,0.55,0.55,0,0,0,0,2.19,12.57,1.64
