stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,3.21,2.14,0,0,0,1.07,0,0
21Day,1.34,0,0,1.34,0,0,0,2.68,2.68,0,0,1.34,0,1.34,1.34
3Month,0.96,0.64,1.92,0,1.6,0.32,0,0.32,0,0.32,0.32,6.72,0,0,2.24
22Month,0,0,3.28,0,0,0,0.55,0,0,0,0,1.09,0.55,0,0
