stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,8.17,0,0,0,4.09,0,0,0,0,12.26,4.09,8.17,0,0,0,4.09,1001.17,0,0,0,0,0,0,0,57.21,0,0,0
72hpf,2.14,0,2.14,0,0,0,0,0,0,0,3.21,5.35,0,2.14,0,0,0,66.33,218.24,0,0,14.98,0,0,97.35,0,10.7,0,0,0
21Day,4.02,0,6.69,2.68,0,0,0,0,0,1.34,0,0,2.68,2.68,0,0,0,21.42,69.6,0,2.68,0,1.34,0,29.45,5.35,0,0,0,1.34
3Month,0.32,0,1.6,0,0.64,0.32,0,1.92,0.64,0,10.24,0.64,0.32,0.32,0.32,0,0.32,0.32,0.96,0,0.64,0,0.32,2.56,2.24,0,0.32,0.64,1.92,0.96
22Month,0,0.55,0.55,0,0,0,0,7.11,0,0.55,0.55,0,1.09,1.09,0,0.55,0,0,0,1.09,3.83,0,0,7.11,1.64,0,0,0,0,0
