stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Radial_glia
24hpf,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,0,0,0
72hpf,0,0,1.07,0,0,0,1.07,2.14,0,5.35,0,1.07,1.07,0,4.28,1.07
21Day,1.34,1.34,0,0,0,1.34,0,1.34,0,8.03,0,2.68,4.02,0,1.34,0
22Month,0,0.55,0,1.09,5.47,0,0,0,0.55,1.09,0.55,0,0,0.55,0,0
