stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,98.07,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,3.21,0,0,0,0,0,0,0,2.14,0,1.07,0,0,0,8.56,7.49,0,0,1.07,0,0,6.42,4.28,2.14,0,0,0,0
21Day,1.34,0,1.34,24.09,4.02,0,0,0,0,1.34,0,0,0,0,0,0,0,9.37,4.02,2.68,0,0,1.34,1.34,0,17.4,25.43,0,0,0,0
3Month,0,0,4.8,0,0,0,0.32,3.52,0.32,0,1.28,1.28,0.64,0.96,0.32,0.32,0.96,0.32,0,0.96,0,0,0.64,8,0,0,0,0.32,0.32,39.67,0.64
22Month,0,1.09,2.19,0,0,0.55,0,11.48,0,0,1.09,0,0,1.09,0,0,0,0,0,1.64,0.55,0,0,5.47,1.09,4.37,0,0,0,0.55,0
