stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,24.52,0,281.96,0,0,0,0,0,0,0,0,16.35,0,0,0,0,32.69,396.38,12.26,16.35,0,0,0,0,16.35,65.38,0,0,12.26,0,0,0,0,0,0,0,0,0
72hpf,4.28,52.42,0,233.21,5.35,8.56,0,0,0,0,0,0,1.07,1.07,0,0,0,33.16,852.62,1.07,64.19,0,0,2.14,0,49.21,26.74,1.07,1.07,69.54,0,2.14,6.42,0,0,1.07,0,0,0
21Day,18.74,6.69,1.34,1173.89,6.69,16.06,0,8.03,0,0,2.68,0,0,4.02,1.34,4.02,14.72,30.79,725.48,10.71,113.78,0,0,8.03,0,24.09,13.39,0,0,36.14,22.76,1.34,2.68,0,9.37,0,0,0,4.02
3Month,1.28,50.87,2.88,1713.01,2.24,0,4.8,0,5.12,6.4,14.08,1.28,0,43.51,13.12,0.96,24,36.15,332.43,23.36,231.64,52.79,0.32,10.88,9.92,6.4,1.6,4.16,1.6,5.44,9.6,21.12,1.6,0,0,1.92,14.72,11.52,55.35
22Month,1.09,75.98,3.83,414.91,0.55,0,4.92,0,3.28,4.92,27.88,11.48,0,92.93,5.47,3.28,9.84,16.4,95.12,15.85,270.05,11.48,4.37,9.29,0.55,6.01,1.64,2.19,1.09,0.55,1.09,26.79,4.92,2.19,0,0,2.19,0,62.32
