stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,44.95,4.09,0,1385.29,4.09,0,0,0,0,0,0,12.26,0,0,0,0,4.09,8.17,77.64,57.21,0,12.26,44.95,7837.72,0,0,4.09,0,0,12.26,0,0,8.17,0,0,0
72hpf,13.91,5.35,0,21.4,2.14,17.12,0,0,0,0,0,0,0,0,2.14,0,7.49,42.79,4.28,26.74,0,0,1923.48,1800.46,0,0,43.86,1.07,0,89.86,0,3.21,5.35,0,0,0
21Day,17.4,4.02,1.34,37.48,0,26.77,0,6.69,0,1.34,1.34,0,1.34,1.34,8.03,2.68,5.35,6.69,2.68,21.42,2.68,0,665.25,851.31,0,1.34,5.35,17.4,0,92.36,5.35,1.34,0,0,0,6.69
3Month,0,0,0,1.6,0,0,0.32,0,0.64,0.64,0,0,0.32,0,0,0.32,2.88,0.32,0.96,0.32,0.32,0.96,10.88,7.68,0.32,0,0.64,0,0.64,0.64,0,0,0.32,0.32,0.64,0
22Month,0,0,0,0.55,0,0,0,0,0,1.64,0,0,7.65,0,0,0,1.09,0,2.19,0.55,0,0,2.19,4.37,0,0.55,1.09,0,6.56,1.09,0,0,0,0,0,0
