stage,Epithelial_cell,Erythrocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,2.14,0,0,0,0,11.77,0,0,0,0,0,0,0
21Day,5.35,1.34,0,0,0,5.35,0,0,0,0,0,0,0
3Month,0.64,0,0,1.28,0.64,0,0.32,0.32,0.32,0.32,1.92,0.64,0.32
22Month,0,0,0.55,2.73,0,0,0,0,0,0,0,0,0
