stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,40.86,12.26,0,0,0,0,0,0
72hpf,13.91,1.07,3.21,9.63,0,0,0,0,16.05,2.14,7.49,1465.61,36.37,1.07,7.49,18.19,0,8.56,0
21Day,5.35,0,5.35,9.37,2.68,0,0,1.34,0,2.68,8.03,496.6,10.71,1.34,5.35,2.68,14.72,2.68,1.34
22Month,0,0,0,0,0,1.64,0.55,0,0,0,0,0,0,0,0,0,0,0.55,0
