stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,3.21,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,106.98,10.7,0,3.21,0,1.07,0,0,0
21Day,0,0,1.34,0,0,0,0,0,0,1.34,0,0,5.35,0,0,0,85.67,1.34,0,0,0,1.34,0,0,0
3Month,0.32,0.32,3.52,0.64,0.64,0,3.52,0.64,0,8.64,0,1.28,0.64,0.32,0.32,0.64,158.05,0,0.96,0,0,43.51,0.64,54.07,1.28
22Month,0,0,0.55,0,2.19,0.55,12.03,0,0.55,13.12,0.55,0,0,0,0,0,180.94,0,0,0,0.55,54.12,0,0.55,0.55
