stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0,0
21Day,0,4.02,0,0,0,0,0,0,2.68,2.68,0,0,0,0,0,0,1.34,0,0,0
3Month,0,0.96,0.32,0.32,0,0.32,0.32,1.28,0,0.96,0.32,0.32,0,0.32,0.32,0.64,41.27,0.32,2.88,0.64
22Month,0.55,3.83,0,0.55,0.55,7.11,0,3.28,0,1.09,0.55,0,0,0,0,0,0,0,0,0
