stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,8.17,4.09,0,0,0,20.43,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,0,1.07,0,0,1.07,3.21,0,0,0,0,0,0,0
21Day,1.34,0,5.35,0,0,0,0,0,0,0,0,0,0,1.34,0,0,1.34,0,0,0,0,1.34,0,0,0
3Month,0.32,1.28,9.92,0,0,0.32,0.96,8.64,2.56,4.48,1.92,1.28,0.64,1.28,0,0.64,0,0,0.32,0.64,25.6,0.32,0.96,9.92,0.64
22Month,0,2.19,3.83,0,0.55,1.64,0.55,16.95,1.64,2.73,0,0.55,2.19,0,1.64,0,1.09,0,0.55,0,4.92,0,0,0.55,1.09
