stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,12.26,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,1.07,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,1.34,0,0
3Month,0.64,0.64,1.28,0.64,0,1.28,0.64,0.32,0.32,0.32,0.32,0,0.32,0,0,0.32,0,6.08,0.64,0,0,10.56,0.32
22Month,1.09,0,0.55,0,0.55,1.09,0,0,0,0,3.28,1.09,0.55,0.55,0,0,0,1.09,2.73,0.55,0,0.55,0
