stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,3.21,0,0,0,0,0,0,0,0,0,3.21,0,3.21,0,0,0,0,5.35,8.56,0,0,0,2.14,0,0,1.07,0,0,0,0,0
21Day,0,0,0,1.34,0,0,0,0,0,0,0,0,0,2.68,0,5.35,0,0,0,0,4.02,4.02,0,0,0,4.02,2.68,8.03,0,0,1.34,0,1.34,0
3Month,0.64,0.64,3.2,16.64,0.64,3.84,3.52,0,23.68,6.08,0.32,10.56,2.24,4.16,3.84,5.12,0.96,0,2.56,2.88,0.96,0.64,0.96,0.64,0,0.32,7.68,895.86,3.2,0.32,0,4.48,306.83,5.76
22Month,0.55,0,0,2.73,0,0,0.55,1.64,18.59,0.55,0,1.09,0,0,0.55,1.64,0,0.55,0.55,0,0.55,0,0.55,0,8.75,0,0,119.17,0,0,0,0,1.64,0
