stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,56.7,5.35,0,2.14,0,0,0,0,0,0,1.07,0,0,2.14,0,7.49,3.21,1.07,0,2.14,0,0,0,0,0,0,0
21Day,88.34,2.68,8.03,2.68,0,0,2.68,0,2.68,0,0,2.68,1.34,6.69,1.34,6.69,4.02,0,2.68,0,0,0,2.68,2.68,0,0,1.34
3Month,2.88,1.28,1.28,0,0,0,3.2,0,0,1.6,0.64,0,0.96,0,0,0,0,0,0.96,0,0.32,0.64,0,0,0.32,0.32,0
22Month,0.55,12.03,1.64,0,1.09,2.19,18.04,0.55,0,1.64,0,0.55,3.28,1.09,0,0,0,0,0.55,0,0,7.65,0,0,0.55,0,0
