stage,Cardiomyocyte,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell
24hpf,0,0,0,4.09,0,0,8.17,8.17
72hpf,1.07,0,0,0,0,0,3.21,0
21Day,0,0,0,0,0,1.34,2.68,0
22Month,0,1.09,0.55,0,0.55,0,0,0
