stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,130.76,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,7.49,2.14,0,4.28,9.63,0,0,0,0,0,0,0,0,0,0,9.63,0,135.86,0,0,0,0,60.98,436.47,3.21,0,0,124.1,0,0,36.37,0,11.77,0,0,0
21Day,2.68,0,2.68,46.85,12.05,0,0,1.34,0,0,4.02,0,1.34,2.68,1.34,5.35,5.35,519.35,0,0,10.71,0,28.11,144.56,0,1.34,0,149.92,6.69,2.68,10.71,2.68,4.02,0,0,1.34
3Month,0.32,2.24,0.32,8.64,0,0.64,0.32,0.96,8.96,0.32,9.28,7.04,0,5.44,0.32,7.04,2.88,284.43,7.68,0,6.72,0.96,1.92,0.64,6.08,0,0,0.32,2.88,18.56,0,0,37.43,0.64,5.12,3.2
22Month,0.55,6.01,0,7.11,0,2.19,1.09,1.09,12.57,1.09,108.78,6.01,2.19,2.73,0.55,0.55,4.92,383.2,2.19,1.09,25.69,0,0,1.09,36.63,0.55,1.09,0.55,2.19,24.6,0,0,0.55,0.55,0,1.64
