stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,1.07,0,1.07,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0
21Day,0,0,4.02,0,0,0,0,0,0,0,0,0,29.45,0,0,0,0,0,0,2.68,1.34,0,1.34,0,0,1.34,0,0,0
3Month,0.64,0,66.23,0.64,0.96,2.24,0,16.96,1.28,0.64,2.56,2.56,0,5.44,1.6,0.64,0,0.32,0.32,0.64,0,0.32,0,0.64,2.24,0,0.32,0.64,0.32
22Month,1.09,1.09,9.84,0,0.55,1.64,0.55,40.45,0.55,1.09,2.19,0,0,1.64,1.09,0,1.09,1.09,0.55,0,0,0.55,0,0,0,0,0,0,1.09
