stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,44.95,0,0,0,0,0,65.38,0,0,0,0,163.46,0,0,16.35,0,0,0,24.52,4.09,53.12,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,10.7,2.14,0,0,0,0,0,0,0,0,0,75.96,4.28,0,2.14,0,1.07,0,29.95,11.77,7.49,0,0,0,0,0,2.14,1.07,1.07,0,0,0
21Day,1.34,0,0,0,0,1.34,0,0,0,0,0,0,0,10.71,0,0,2.68,0,0,0,2.68,2.68,1.34,0,0,1.34,1.34,0,0,0,1.34,0,0,0
3Month,0,0.32,71.67,0,0.96,22.08,2.24,0,0,10.24,1.6,0.64,2.88,199.01,2.56,0.96,1.92,0.32,0,2.24,42.87,0,0,0.96,0.32,0.32,1.6,2.56,1.6,0,0,0.96,2.24,1.6
22Month,0,1.64,95.66,0,0,18.59,2.19,0.55,0,21.32,1.64,0,2.73,51.39,0,1.09,1.64,0,0,0,3.28,0.55,0,0.55,0.55,0,0,0,0,0,0,0,0,0.55
